senatorial 31 ['STPHA/TOEURL', 'STPHA/TOER/KWRAL', 'STPHA/TOERL', 'STPHA/TOR/KWRAL']
antibiotic 28 ['TPWAOEUT/EUBG', 'PWAO*EUBG', 'PWAOEUBGT', 'PWO*EUBG']
forensic 26 ['TPR*EPBG', 'TPREPB/S*EUBG', 'TPREPB/SEUBG', 'TPREPBS/EUBG']
equilibrium 26 ['KWRAL/EURB/KWRUPL', 'KWAL/EURB/KWRUPL', 'HRAO*EFRPL', 'HRAO*ERPL']
entrepreneur 25 ['SPWRE/PRE/TPHAOUR', 'SPWRE/PRE/TPHER', 'SPWRE/PRE/TPHUR', 'SPWREP/TPHAOUR']
congratulations 25 ['TKPWHRAEUGS', 'TKPWHRAT/HRAEUGS/-S', 'TKPWRAEUT/HRAEUGS', 'TKPWRAFPGSZ']
anesthesia 23 ['STPHAO*ES', 'STPHAOERB', 'STPHAOES', 'STPHAOES/KWRA']
anesthesiologist 23 ['STPHAOES/OLG/EUFT', 'APB/STHAOES/KWROLGS', 'APB/STHAOES/OLG/EUFT', 'APB/STAOES/KWROLGS']
tuberculosis 23 ['TKAOU/PWERBG/HROES/EUS', 'TPWERBG/HRO/SEUS', 'TPWERBG/HROE/SEUS', 'TAOU/PWER/KHROE/SEUS']
attributable 22 ['TKR-RBL/-BL', 'TR-RBL', 'TR-BL', 'A/STREUB/-BL']
differentiate 22 ['TKAEUFR/KWRAEUT', 'TKEUF/TPREPB/SHAEUT', 'TKEUF/TPREPB/KWRAEUT', 'TKEUF/TPREPBT/KWRAEUT']
structure 21 ['STKRAOUFP', 'STRAOUFP', 'STRAOUR', 'STRAOURB']
symmetrical 21 ['SPHEURT/K-L', 'SPHERL', 'SPHERLT/K-L', 'SPHERT/TK-L']
controversial 20 ['TRO*EFRL', 'TROEFRL', 'KWEFRL', 'KRA/SRERBL']
terrestrial 20 ['TR*ES/RAOEL', 'TR*ES/RAL', 'TR*ES/REUL', 'TREFT/KWRAL']
attribute 20 ['TR-RBT', 'TR-BT', 'A/TKR-BT', 'A/TREUP/AOUT']
characteristic 20 ['KHREUFT/EUBG', 'KRAR/AOEUZ/EUBG', 'KRAR/EUFT/EUBG', 'KRABG/EUFT/EUBG']
assumption 19 ['SUPLS', 'A/SAOUPLGS', 'A/S*UPLS', 'A/SUPBLGTS']
alternative 19 ['TERPB/TEUF', 'TERPBT/EUF', 'HR-FRPB', 'HR-FRPBT']
and 18 ['STK', 'STKP', 'SKP', 'SKPW']
scenario 18 ['STPHAEUR/SKWROE', 'STPHAEUR/KWROE', 'STPHAEUR/KWOE', 'STPHAEUR/ROE']
sculpture 18 ['SKRUBG/TAOUR', 'SKAOUFP', 'SKAOUFPL', 'SKAOUPL/TAOUR']
confidentiality 18 ['TKAUFPB/TKEPBL/ALT', 'KAUFPB/TKEPB/KWRALT', 'KAUFPB/TKEPBL/TEU', 'KAUFPB/TKEPBL/ALT']
extraterrestrial 18 ['TRAEBGS/TRES/TRAL', '*ERBGS/TREFT/RAL', 'ERBGS/TRES/TRAL', 'EBGS/TRA/TR*ES/RAOEL']
exemplary 18 ['KPEFRP/PHRAEUR', 'KPEFRP/HRA/REU', 'KPEFRP/HRAEUR', 'KPEPL/PHRA/REU']
biologist 18 ['PWAO*EU/KWRO*LGS', 'PWAO*EU/KWROL/SKWR*EUS', 'PWAO*EU/O*LGS', 'PWAO*EU/OL/SKWR*EUS']
homogeneity 18 ['HO/PHO/SKWRE/TPHAEUT', 'HO/PHO/SKWREPB/AEUT', 'HO/PHOPBLG/TPHAOE/TEU', 'HO/PHOPBLG/TPHAEU/TEU']
administrative 17 ['STKRAEUF', 'STKRAEUT/EUF', 'STKRAEUD/EUF', 'AD/STKRAEUF']
different 17 ['STKEUFRPB', 'TKAOEUFRPB', 'TKAEUFRPB', 'TK*EUFRPB']
diabetes 17 ['TKPAOEBT', 'TKAO*EB', 'TKAO*EBT', 'TKAO*EBS']
duodenum 17 ['TKWO/TKAOE/TPHUPL', 'TKWO/TKAOEPB/UPL', 'TKWOE/TKAOE/TPHUPL', 'TKWOED/TPHUPL']
refrigerator 17 ['TPRAOEURPBLG/TOER', 'TPRAOEUPBLG/TOEUR', 'TPRAOEUPBLG/TOER', 'TPR*EUPBLG']
exercise 17 ['KPER/SAOEUZ', 'KPERZ', '*ERBG/SAOEUS', '*EBGS/SAOEUS']
ophthalmologist 17 ['PHOLG/EUFT', 'O*PBT/PHOLG/EUFT', 'O*PT/THAL/PHOLG/EUFT', 'O*PT/PHOL/EUFT']
leisure 17 ['HRAO*ERB', 'HRAOE/SHAOUR', 'HRAOE/SHUR', 'HRAOERB/SHUR']
electrical 17 ['HRERBGT/K-L', 'HREBG/TRAL', 'HREBG/TREU/KAL', 'HREBG/TREUBG/KAL']
habitual 17 ['HA/PWEU/KHUL', 'HA/PWEUFP/KWRAOUL', 'HA/PWEUFP/KWRAL', 'HA/PWEUFP/KWRUL']
history 17 ['HOEUFRT', 'H*EUF/REU', 'H*EUFT/REU', 'H*EUS/REU']
eventuality 17 ['AOE/SREFRPBLG/KWRAL/TEU', 'AOE/SREFRPBLG/KWRUL/TEU', 'AOE/SREPB/KHAL/TEU', 'AOE/SREPB/KHUL/TEU']
installation 16 ['STPHAULGS', 'STHRAEUGS', 'STAUL/HRAEUGS', '*EUPBS/HRAEUGS']
schizophrenia 16 ['STPRAO*EPB', 'SKWEUZ/TPRAOEPB/KWRA', 'SKRAO*EPB', 'SKEU/SO*/TPREPB/KWRA']
dependent 16 ['TKPEPB/TKEPBT', 'TKPEPBT', 'TKPEPBD/TKEPBT', 'TKPEPBD/EPBT']
differentiation 16 ['TKEUF/TPREPB/SHAEUGS', 'TKEUF/TPREPB/KWRAEUGS', 'TKEUF/TPREPBT/KWRAEUGS', 'TKEUF/KWRAEUGS']
mosquito 16 ['TPOS/KAOET/TOE', 'PHO/SKAOE/TOE', 'PHO/SKEU/TO', 'PHOE/SKAOET/TOE']
rationale 16 ['TRAGS/TPHAL/SKWRE', 'RA*ELGS', 'RAELGS/TPHAL', 'RAEGS/TPHAEL']
combination 16 ['KPWHREUPBGS', 'KPWHEUPBGS', 'KPWAEUGS', 'KPWEU/TPHAEUGS']
cholesterol 16 ['KHRO*L', 'KHROL', 'KHR*ES/ROEL', 'KHR*ES/ROL']
creativity 16 ['KRAOE/T*EUF/TEU', 'KRAOE/T*EUFT', 'KRAOE/TEUFT', 'KRAOE/KWRAEU/T*EUF/TEU']
barbiturate 16 ['PWAR/PWEU/KHAOU/RAT', 'PWAR/PWEUFP/KWRAOU/RAEUT', 'PWAR/PWEUFP/KWRAOU/RAT', 'PWAR/PWEUFP/KWRU/RAEUT']
presumption 16 ['PRAOE/SUPLGS', 'PRO/SUPBLGS', 'PRE/SAOUPLGS', 'PRE/S*UFRPGS']
posthumous 16 ['PO*S/KHAOU/PHOUS', 'PO*S/KHAOUPL/OUS', 'PO*S/HAOU/PHOUS', 'PO*S/HAOUPL/OUS']
